time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-09-01T20:03:39.129Z,59.0742,-136.915,6.6,2.7,ml,,,,0.84,ak,ak019b7v22rz,2019-09-01T20:16:32.040Z,"85km W of Haines, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-09-01T19:35:07.690Z,18.6683,-66.4836,12,2.47,md,17,239,0.1966,0.25,pr,pr2019244013,2019-09-01T20:09:43.040Z,"23km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,0.92,0.79,0.29,15,reviewed,pr,pr
2019-09-01T18:57:53.999Z,46.6317,143.9236,386.74,4.1,mb,,133,0.863,0.56,us,us70005b0j,2019-09-01T19:38:01.040Z,"87km E of Korsakov, Russia",earthquake,12.6,7.1,0.075,49,reviewed,us,us
2019-09-01T18:16:52.053Z,44.4328,-114.1792,5,2.6,ml,,111,0.886,0.68,us,us70005b0b,2019-09-02T17:14:28.619Z,"9km SSE of Challis, Idaho",earthquake,1.5,1.9,0.052,49,reviewed,us,us
2019-09-01T18:13:48.377Z,56.714,-153.7347,52.3,2.8,ml,,,,0.86,ak,ak019b7txcxl,2019-09-01T20:26:03.213Z,"154km SSE of Larsen Bay, Alaska",earthquake,,1.1,,,reviewed,ak,ak
2019-09-01T18:12:01.030Z,31.5678333,-115.7071667,6.09,2.57,ml,13,125,0.1877,0.12,ci,ci39033336,2019-09-03T22:16:56.278Z,"83km ESE of Maneadero, B.C., MX",earthquake,0.61,1.69,0.157,17,reviewed,ci,ci
2019-09-01T17:18:26.575Z,-20.5156,-178.4356,600.06,4.6,mb,,115,4.314,1.14,us,us70005azw,2019-09-01T18:44:11.040Z,"31km ENE of Ndoi Island, Fiji",earthquake,12.4,6.9,0.032,296,reviewed,us,us
2019-09-01T16:58:24.724Z,0.3643,126.327,32.79,4.6,mb,,50,1.115,0.89,us,us70005azn,2019-09-01T18:29:07.040Z,"124km WSW of Kota Ternate, Indonesia",earthquake,5.6,4.6,0.117,29,reviewed,us,us
2019-09-01T16:41:06.875Z,36.8751,-104.8419,5,2.8,ml,,72,0.075,0.68,us,us70005az3,2019-09-01T19:28:47.040Z,"36km W of Raton, New Mexico",earthquake,1.8,1.9,0.045,66,reviewed,us,us
2019-09-01T15:54:20.295Z,-20.3912,-178.5508,591,6.6,mww,,19,4.152,1.08,us,us70005axg,2019-09-03T13:18:43.946Z,"32km NNE of Ndoi Island, Fiji",earthquake,9.9,1.9,0.038,65,reviewed,us,us
2019-09-01T14:50:09.752Z,-27.462,-70.2266,91.73,4.6,mb,,94,0.131,0.79,us,us70005awx,2019-09-01T17:21:41.040Z,"14km SE of Copiapo, Chile",earthquake,5.7,1.4,0.194,9,reviewed,us,us
